brand,配對數,有瀏覽,有加購,有移除,有購買,瀏覽且加購,瀏覽加購且購買,瀏覽→加購%,加購→購買%,加購後放棄%,放棄配對數,無瀏覽直接加購%
zeitun,8703.0,6380.0,2416.0,1299.0,557.0,944.0,151.0,14.796238244514107,13.948675496688741,86.05132450331125,2079.0,60.9271523178808
osmo,3732.0,3370.0,606.0,214.0,110.0,361.0,41.0,10.712166172106825,14.026402640264028,85.97359735973598,521.0,40.42904290429043
fancy,1092.0,735.0,312.0,203.0,78.0,102.0,16.0,13.877551020408163,14.102564102564102,85.8974358974359,268.0,67.3076923076923
kocostar,5027.0,2926.0,1946.0,929.0,471.0,513.0,81.0,17.532467532467532,14.131551901336072,85.86844809866393,1671.0,73.6382322713258
beauugreen,2280.0,1834.0,508.0,269.0,132.0,237.0,42.0,12.92257360959651,14.173228346456693,85.8267716535433,436.0,53.34645669291339
joico,4260.0,3721.0,765.0,247.0,173.0,386.0,62.0,10.373555495834454,14.248366013071895,85.7516339869281,656.0,49.54248366013072
limoni,10739.0,8331.0,2672.0,1366.0,681.0,1195.0,195.0,14.34401632457088,14.33383233532934,85.66616766467065,2289.0,55.27694610778443
lador,24282.0,20324.0,4381.0,2006.0,1080.0,1864.0,310.0,9.171422948238536,14.33462679753481,85.66537320246519,3753.0,57.45263638438713
ladykin,1443.0,1197.0,310.0,159.0,73.0,169.0,26.0,14.11862990810359,14.516129032258066,85.48387096774194,265.0,45.483870967741936
airnails,56290.0,23831.0,25217.0,12583.0,7438.0,3666.0,556.0,15.383324241534135,14.577467581393504,85.4225324186065,21541.0,85.46218820636872
cnd,125880.0,93267.0,32420.0,16912.0,7629.0,9978.0,1700.0,10.698317732960211,14.59592843923504,85.40407156076496,27688.0,69.22270203578039
art-visage,42239.0,25461.0,15570.0,7197.0,4229.0,4340.0,702.0,17.045677703153846,14.611432241490045,85.38856775850996,13295.0,72.12588310854207
jessnail,182335.0,146209.0,34038.0,18273.0,9608.0,11579.0,1599.0,7.919485120615009,14.621893178212586,85.37810682178741,29061.0,65.98213761090545
aura,974.0,574.0,314.0,159.0,83.0,57.0,14.0,9.930313588850174,14.64968152866242,85.35031847133759,268.0,81.84713375796179
carmex,1962.0,1284.0,557.0,301.0,147.0,113.0,27.0,8.800623052959502,14.721723518850988,85.27827648114902,475.0,79.71274685816876
kinetics,38744.0,25658.0,12303.0,6459.0,3203.0,3711.0,576.0,14.463325278665524,14.72811509387954,85.27188490612045,10491.0,69.8366252133626
missha,18082.0,15921.0,2752.0,1059.0,666.0,1296.0,214.0,8.140192198982476,14.789244186046513,85.21075581395348,2345.0,52.90697674418605
almea,3694.0,3157.0,652.0,292.0,145.0,315.0,64.0,9.977827050997783,14.877300613496933,85.12269938650306,555.0,51.68711656441718
ardell,36583.0,34061.0,3476.0,1512.0,839.0,1865.0,307.0,5.475470479433957,15.04602991944764,84.95397008055235,2953.0,46.3463751438435
